Word,Hiragana,Example Sentence 1,Example Sentence 2,English Translation
不動産 ,ふどうさん,彼は不動産のエキスパートです。,私は不動産を所有しています。,real estate
仕事,しごと,私は毎日仕事に追われています。,彼女の仕事はとても忙しいです。,work
マンション,まんしょん,わたしは今、マンションに住んでいます。,マンションの管理費は毎月支払わなければならない。,apartment
買い時,かいじ,買い時を逃さないように注意しましょう。,お金がある時が買い時だと言われます。,time to buy
市場,しじょう,アジアの市場には多くの商品があります。,私たちの製品はその市場で大変人気があります。,market
タイミング,たいみんぐ,彼はいつでも完璧なタイミングで行動します。,私たちのチームは絶好のタイミングで勝利しました。,timing
満足,まんぞく,私はこの仕事にとても満足しています。,彼らはその結果に満足していません。,satisfaction
将来,しょうらい,私たちは将来のために貯金をしています。,将来、私は自分の国に帰るつもりです。,future
購入時期,こうにゅうじき,彼は購入時期を知りたがっています。,私たちは来月購入時期を決める予定です。,time of purchase
将来,しょ,,,
